"IdeaID","meaning","meaningAsm"
"143","One of the seven land masses of the earth that comprises many countries.","বহুত দেশ জুৰি থকা পৃথিৱীৰ সাতটা বৃহত্তম ভাগৰ এভাগ।"
"144","To go on or to keep up without break","বিৰতি নোহোৱাকৈ অটুট ৰাখ"
"145","In trading, some work that has been tied by an agreement between two parties to make and/or build something within a given date at a predetermined cost.","বেচ লৈ নিৰ্দ্দিষ্ট সময়ত কৰি দিবলৈ লোৱা নিৰূপিত কাম; নিৰূপিত বেচত কৰিবলৈ লোৱা নিৰূপিত পৰিমাণৰ কাম ৷"
"146","To give a part to a common stock; to lend assistance or aid, or give something, to a common purpose; to have a share in any act or effect.","কিবা এটা ভাল কামৰ বাবে টকা-পইছা অথবা আন সহায় আগবঢ়া ৷"
"147","money or objects given for a common fund or a noble cause","কোনো সত ৰাজহুৱা কামৰ বাবে দিয়া ধন বা বস্তু "
"148","Restrained or managed or kept within certain bounds.","এটা নিৰ্দিষ্ট গণ্ডীৰ ভিতৰত আৱদ্ধ ৷"
"149","exact location in numeric terms","কোনো ঠাইৰ সঠিক অৱস্থানৰ সাংখ্যিক প্ৰকাশ"
"150","A true copy or extract of an original writing or record","কোনো মূল লেখা বা নথি অথবা তাৰ কোনো অংশৰ হুবহু ৰূপত তৈয়াৰ কৰা অন্য এক নথি "
"151","Of or from or pertaining to or characteristic of the cosmos or universe. Something vast and systematic, imbued with a sense of magnitude and order.","বিশ্বব্ৰহ্মাণ্ডৰ লগত সম্পৰ্ক থকা অথবা বিশ্বব্ৰহ্মাণ্ডৰ দৰে; মান আৰু ক্ৰমত বিশাল অথচ পৰিপাটি ।"
"152","refers to late occurrence, appearance or origin","শেহতীয়াকৈ সংঘটিত, আৱিৰ্ভাৱ বা আৰম্ভ হোৱা"
"153","to interlace (threads, yarns, strips, fibrous material, etc.) so as to form a fabric or material. ","সূতা বা আন আঁহেৰে গুঁঠি কাপোৰ তৈয়াৰ কৰ্"
"154","An assembly of persons called together for consultation, deliberation, or discussion.","আলোচনা-বিলোচনা আৰু আন কোনো গঠনমূলক কামৰ বাবে কেইজনমান মানুহ একেলগে লগ হৈ গঠন কৰা নিকায় ৷"
"155","two horned, herbivorous domestic animal domesticated for milk, running plough etc.","গাখীৰৰ কাৰণে বা হাল বোৱাৰ বাবে পোহা দুটা শিং থকা এবিধ তৃণভোজী, ঘৰচীয়া জন্তু"
"156","lacking courage in facing danger, difficulty, opposition, pain, etc","সহজে ভয়খোৱা, সাহপিত নথকা "
"157","large, long-legged and long-necked birds of the order Gruiformes, and family Gruidae","গ্ৰুইফৰ্মেছ্ বৰ্গ আৰু গ্ৰুইডি পৰিয়ালৰ অন্তৰ্গত ডাঙৰ, দীঘল ঠেং আৰু ডিঙি-যুক্ত এবিধ ডাঙৰ চৰাই"
"158","an act that is against the law.","আইনৰ প্ৰতিকূলে যোৱা বা আইন-বিৰুদ্ধ কাম।"
"159","a person guilty or convicted of a crime.","অপৰাধ কৰা ব্যক্তি ৷"
"160","the number ten million or 100,00,000. Widely used in the Indian subcontinent.","এশ লাখ"
"161","to move over an object from one edge to another","কোনো বস্তুৰ এফালৰ পৰা সিফাললৈ যোৱা"
"162","A section created by a plane cutting a solid perpendicular to its longest axis.","কোনো কঠিন বস্তুক তাৰ মেৰুদণ্ডৰ লম্বভাৱে কাটি সৃষ্টি কৰা পাতল ছেদ"
"163","a clear, transparent mineral.","এক নিকা, স্বচ্ছ খনিজ পদাৰ্থ।"
"164","an event happening at present","বৰ্ত্তমানে হৈ থকা ঘটনা"
"165","the amount of bending of a line; the deviation of a line from a straight path","এডাল ৰেখা কিমান বেঁকা তাৰ জোখ; সৰল পথৰ পৰা এডাল ৰেখাৰ বিচ্যুতি"
"166","a person who purchases goods or services from another","আন এজনৰ পৰা কোনো সামগ্ৰী বা সেৱা ক্ৰয় কৰা লোক"
"167","evil motive or intentions; ","আনক হানি কৰিবৰ বাবে ৰচা বুদ্ধি"
"168","Damodardeva, was a Brahmin disciple of Srimanta Sankardeva who caused the first fissure in the Vaishnava movement in Assam, when he moved away from the main body led by Madhabdeva to form the Brahman-samhati, soon after the death of the Mahapurush. He founded many sattras, but the one at Patbaushi in Barpeta, where he lived for several years is the most important. He was born in 1488 and died in 1598.","অসমৰ এজন বৈষ্ণব-ধৰ্ম্ম প্ৰবৰ্ত্তক এজনা মহান ব্যক্তি ৷ দামোদৰদেৱ আদিতে ব্ৰাহ্মণ আছিলে যদিও পিচত মহাপুৰুষ শ্ৰীমন্ত শঙ্কৰদেৱৰ শিষ্যত্ব গ্ৰহণ কৰি বৈষ্ণৱ ধৰ্মৰ প্ৰচাৰৰ গুৰু দায়িত্ব গ্ৰহণ কৰিছিল ৷ শেষত যেনিবা মাধৱদেৱৰ সৈতে মতানৈক্য ঘটাত শঙ্কৰদেৱৰ পৰলোকপ্ৰাপ্তিৰ পিছত ব্ৰাহ্মণ-সংহতি বুলি এখন সমাজ গঠন কৰে ৷ তেখেতে বহুতো সত্ৰৰ প্ৰতিষ্ঠা কৰে আৰু তাৰ ভিতৰত বৰপেটাৰ পাটবাউসী সত্ৰ অন্যতম ৷"
"169","a particular day of the calender, specified by the year, the month and the day","দিন, মাহ আৰু বছৰ উল্লেখ কৰি পঞ্জিকাৰ এটা নিৰ্দ্দিষ্ট দিন"
"170","A particular time frame within which something must be done or completed.","কোনো কাম সম্পূৰ্ণ কৰিবলৈ ঠিৰাং কৰা সময় ৷"
"171","A day of the week. The time for one complete rotation of the earth around Sun.","সপ্তাহৰ যিকোনো এটা দিন ৷ সূৰ্য্যৰ চাৰিওফালে পৃথিৱীয়ে এপাক ঘূৰিবলৈ লগা সময় ৷"
"172","any of several ruminants of the family Cervidae, most of the males of which have solid, deciduous antlers","ছাৰ্ভিদি পৰিয়ালৰ অন্তৰ্গত বহু-কোঠলীয়া পাকস্থলী যুক্ত বহুবিধ প্ৰাণীৰ যিকোনো এবিধ, যাৰ মতাবোৰৰ টান, সৰি পৰিব পৰা শিং থাকে ৷"
"173","the state of not having life","প্ৰাণ নোহোৱা হৈ যোৱা অৱস্থা"
"174","A discussion involving opposing points; an argument","পৰস্পৰ বিৰোধী যুক্তি দৰ্শাই কৰা আলোচনা"
"175","a period of 10 years","১০ বছৰৰ এছোৱা সময়"
"176","To diminish in radioactive strength ","তেজস্ক্ৰিয়তা কমি যোৱা"
"177","The act or process of reaching a final conclusion","এক চূড়ান্ত অভিমতত উপনীত হোৱা কাৰ্য্য বা প্ৰক্ৰিয়া"
